date,time,shooter,team,keeper,opposition,result,home_team,away_team,home_score,away_score,goal,on_target,save
41342,20.47,Robert Earnshaw,TOR,Jimmy Nielsen,SKC,Goal,TOR,SKC,1,0,1,1,0
41343,91.06,Chris Wondolowski,SJ,Luis Robles,NYRB,Goal,SJ,NYRB,1,1,1,1,0
41349,33.02,Patrice Bernier,MTL,Joe Bendik,TOR,Goal,MTL,TOR,0,0,1,1,0
41349,67.4,Robert Earnshaw,TOR,Troy Perkins,MTL,Goal,MTL,TOR,2,0,1,1,0
41356,49.13,Mike Magee,LA,Clinton Irwin,COL,Goal,LA,COL,0,0,1,1,0
41363,47.52,Hendry Thomas,COL,Donovan Ricketts,POR,Goal,COL,POR,1,0,1,1,0
41363,70.26,Will Johnson,POR,Clinton Irwin,COL,Goal,COL,POR,2,1,1,1,0
41370,8.59,Alvaro Saborio,RSL,Clinton Irwin,COL,Saved,COL,RSL,1,0,0,1,1
41371,24.41,Chris Rolfe,CHI,Luis Robles,NYRB,Miss,CHI,NYRB,0,1,0,0,0
41377,6.19,Deshorn Brown,COL,Dan Kennedy,CHV,Goal,CHV,COL,0,0,1,1,0
41377,35.52,Jose Correa,CHV,Clinton Irwin,COL,Post,CHV,COL,0,1,0,0,0
41377,60.51,Kenny Cooper,FCD,Carlo Cudicini,LA,Saved,FCD,LA,0,0,0,1,1
41377,68.27,Landon Donovan,LA,Raul Fernandez,FCD,Saved,FCD,LA,0,0,0,1,1
41377,83.18,Camilo Da Silva Sanvezzo,VAN,Nick Rimando,RSL,Goal,VAN,RSL,0,1,1,1,0
41384,35.43,Edgar Mejia,CHV,Nick Rimando,RSL,Saved,RSL,CHV,0,0,0,1,1
41391,46.22,Federico Higuain,CLB,Bill Hamid,DCU,Goal,CLB,DCU,2,0,1,1,0
41398,71.39,Federico Higuain,CLB,Luis Robles,NYRB,Saved,CLB,NYRB,0,0,0,1,1
41399,24.23,Landon Donovan,LA,Tally Hall,HOU,Saved,LA,HOU,0,0,0,1,1
41399,56.2,Claudio Bieler,SKC,Dan Kennedy,CHV,Goal,SKC,CHV,1,0,1,1,0
41402,76.55,Kenny Cooper,FCD,Donovan Ricketts,POR,Goal,FCD,POR,0,1,1,1,0
41402,91.45,Saer Sene,NE,Nick Rimando,RSL,Saved,NE,RSL,1,2,0,1,1
41412,51.39,Will Johnson,POR,Brad Knighton,VAN,Goal,VAN,POR,1,0,1,1,0
41420,33.16,Robbie Keane,LA,Michael Gspurning,SEA,Goal,LA,SEA,2,0,1,1,0
41420,43.44,Robbie Keane,LA,Michael Gspurning,SEA,Goal,LA,SEA,3,0,1,1,0
41420,73.47,Federico Higuain,CLB,Luis Robles,NYRB,Goal,NYRB,CLB,1,1,1,1,0
41426,68.54,Federico Higuain,CLB,Tally Hall,HOU,Goal,CLB,HOU,0,1,1,1,0
41426,48.06,Claudio Bieler,SKC,Troy Perkins,MTL,Goal,SKC,MTL,0,0,1,1,0
41433,69.12,Servando Carrasco,SEA,Brad Knighton,VAN,Goal,SEA,VAN,1,2,1,1,0
41440,18.02,Dwayne De Rosario,DCU,Joe Bendik,TOR,Goal,DCU,TOR,0,0,1,1,0
41440,24.12,Camilo Da Silva Sanvezzo,VAN,Bobby Shuttleworth,NE,Goal,VAN,NE,0,2,1,1,0
41444,22.03,Mike Magee,CHI,Clinton Irwin,COL,Goal,CHI,COL,0,1,1,1,0
41444,21.3,Giles Barnes,HOU,Troy Perkins,MTL,Miss,MTL,HOU,1,0,0,0,0
41447,6.25,Federico Higuain,CLB,Sean Johnson,CHI,Goal,CLB,CHI,0,0,1,1,0
41447,10.07,Chris Pontius,DCU,Jon Busch,SJ,Goal,DCU,SJ,0,0,1,1,0
41447,42.58,Kei Kamara,SKC,Raul Fernandez,FCD,Goal,FCD,SKC,0,0,1,1,0
41454,47.04,Camilo Da Silva Sanvezzo,VAN,Bill Hamid,DCU,Goal,DCU,VAN,0,0,1,1,0
41458,96.04,Javier Morales,RSL,Zac MacMath,PHI,Goal,RSL,PHI,1,2,1,1,0
41459,84.59,Robbie Keane,LA,Andy Gruenebaum,CLB,Goal,LA,CLB,0,1,1,1,0
41459,91.03,Robbie Keane,LA,Andy Gruenebaum,CLB,Goal,LA,CLB,1,1,1,1,0
41462,11.4,Federico Higuain,CLB,Donovan Ricketts,POR,Miss,CLB,POR,1,0,0,0,0
41462,79.37,Patrice Bernier,MTL,Dan Kennedy,CHV,Goal,MTL,CHV,0,1,1,1,0
41468,87.17,Peguy Luyindula,NYRB,Troy Perkins,MTL,Goal,NYRB,MTL,3,0,1,1,0
41475,55.12,Mike Magee,CHI,Joe Willis,DCU,Goal,CHI,DCU,3,0,1,1,0
41482,22.4,Fabian Espindola,NYRB,Jeff Attinella,RSL,Goal,NYRB,RSL,1,0,1,1,0
41482,44.06,Alvaro Saborio,RSL,Luis Robles,NYRB,Goal,NYRB,RSL,2,0,1,1,0
41482,88.43,Fabian Espindola,NYRB,Jeff Attinella,RSL,Goal,NYRB,RSL,2,3,1,1,0
41482,54.24,Victor Bernardez,SJ,Donovan Ricketts,POR,Goal,SJ,POR,0,0,1,1,0
41489,20.59,Alvaro Saborio,RSL,Clinton Irwin,COL,Goal,COL,RSL,1,1,1,1,0
41489,9.39,Brad Davis,HOU,Matt Lampson,CLB,Goal,HOU,CLB,0,0,1,1,0
41489,93.13,Brad Evans,SEA,Raul Fernandez,FCD,Goal,SEA,FCD,2,0,1,1,0
41496,61.56,Federico Higuain,CLB,Luis Robles,NYRB,Goal,CLB,NYRB,0,0,1,1,0
41496,36.44,Alvaro Saborio,RSL,Tally Hall,HOU,Goal,RSL,HOU,0,0,1,1,0
41497,27.38,Deshorn Brown,COL,Dan Kennedy,CHV,Saved,CHV,COL,1,0,0,1,1
41507,42.42,Javier Morales,RSL,Donovan Ricketts,POR,Goal,POR,RSL,1,1,1,1,0
41507,56.25,Diego Valeri,POR,Jeff Attinella,RSL,Goal,POR,RSL,1,2,1,1,0
41510,71.37,Michel Garbini Pereira,FCD,Jon Busch,SJ,Goal,FCD,SJ,1,2,1,1,0
41511,46.19,Erick Torres,CHV,Luis Robles,NYRB,Goal,CHV,NYRB,1,1,1,1,0
41517,42.1,Robbie Keane,LA,Jon Busch,SJ,Goal,LA,SJ,1,0,1,1,0
41517,72.53,Dwayne De Rosario,DCU,Luis Robles,NYRB,Saved,NYRB,DCU,2,1,0,1,1
41521,49.59,Ryan Finley,CLB,Tally Hall,HOU,Saved,CLB,HOU,1,0,0,1,1
41524,29.58,Osvaldo Alonso,SEA,Sean Johnson,CHI,Saved,SEA,CHI,0,1,0,1,1
41524,6.16,Claudio Bieler,SKC,Matt Lampson,CLB,Goal,SKC,CLB,0,0,1,1,0
41525,7.46,Patrice Bernier,MTL,Bobby Shuttleworth,NE,Goal,NE,MTL,0,0,1,1,0
41525,32.11,Patrice Bernier,MTL,Bobby Shuttleworth,NE,Goal,NE,MTL,1,1,1,1,0
41538,69.07,Federico Higuain,CLB,Sean Johnson,CHI,Goal,CLB,CHI,1,0,1,1,0
41538,90.34,Oscar Boniek Garcia,HOU,Dan Kennedy,CHV,Goal,HOU,CHV,4,1,1,1,0
41538,6.31,Kenny Miller,VAN,Troy Perkins,MTL,Goal,MTL,VAN,0,0,1,1,0
41538,56.23,Lee Nguyen,NE,Bill Hamid,DCU,Saved,NE,DCU,0,1,0,1,1
41538,82.24,Lee Nguyen,NE,Bill Hamid,DCU,Goal,NE,DCU,1,1,1,1,0
41545,78.06,Mike Magee,CHI,Troy Perkins,MTL,Post,CHI,MTL,2,1,0,0,0
41546,44.33,Brad Evans,SEA,Luis Robles,NYRB,Goal,SEA,NYRB,0,0,1,1,0
41552,84.18,Lee Nguyen,NE,Luis Robles,NYRB,Goal,NYRB,NE,1,0,1,1,0
41559,74.35,Kenny Cooper,FCD,Sean Johnson,CHI,Goal,FCD,CHI,1,3,1,1,0
41566,63.2,Mike Magee,CHI,Stefan Frei,TOR,Goal,CHI,TOR,0,0,1,1,0
41566,40.57,Gabriel Torres,COL,David Ousted,VAN,Goal,COL,VAN,0,1,1,1,0
41566,74.27,Camilo Da Silva Sanvezzo,VAN,Clinton Irwin,COL,Goal,COL,VAN,2,1,1,1,0
41566,68.51,Chris Tierney,NE,Matt Lampson,CLB,Goal,NE,CLB,1,1,1,1,0
41570,48.1,Alvaro Saborio,RSL,Tim Melia,CHV,Goal,RSL,CHV,0,0,1,1,0
41574,10.55,Oscar Boniek Garcia,HOU,Bill Hamid,DCU,Goal,DCU,HOU,0,0,1,1,0
41574,42.5,Camilo Da Silva Sanvezzo,VAN,Clinton Irwin,COL,Goal,VAN,COL,0,0,1,1,0
41706,26.37,Federico Higuain,CLB,Bill Hamid,DCU,Goal,DCU,CLB,0,1,1,1,0
41706,23.33,Blas Perez,FCD,Troy Perkins,MTL,Goal,FCD,MTL,1,1,1,1,0
41706,92.4,Robbie Keane,LA,Nick Rimando,RSL,Saved,LA,RSL,0,1,0,1,1
41706,33.45,Kenny Miller,VAN,Luis Robles,NYRB,Goal,VAN,NYRB,0,0,1,1,0
41707,55.56,Erick Torres,CHV,Sean Johnson,CHI,Goal,CHV,CHI,0,0,1,1,0
41713,71.55,Vicente Sanchez,COL,Luis Robles,NYRB,Goal,NYRB,COL,1,0,1,1,0
41714,18.55,Jeff Larentowicz,CHI,Donovan Ricketts,POR,Goal,POR,CHI,0,0,1,1,0
41720,72.24,Vicente Sanchez,COL,Andrew Weber,POR,Goal,COL,POR,0,0,1,1,0
41720,74.4,Deshorn Brown,COL,Andrew Weber,POR,Saved,COL,POR,1,0,0,1,1
41720,56.5,Dominic Dwyer,SKC,Jon Busch,SJ,Goal,SKC,SJ,0,0,1,1,0
41727,59.25,Vicente Sanchez,COL,Eric Kronberg,SKC,Goal,COL,SKC,0,1,1,1,0
41727,77.43,Vicente Sanchez,COL,Eric Kronberg,SKC,Goal,COL,SKC,1,1,1,1,0
41727,10.43,Alvaro Saborio,RSL,Julio Cesar,TOR,Goal,RSL,TOR,0,0,1,1,0
41727,59,Federico Higuain,CLB,Stefan Frei,SEA,Goal,SEA,CLB,1,0,1,1,0
41727,57.07,Kenny Miller,VAN,Tally Hall,HOU,Goal,VAN,HOU,1,0,1,1,0
41728,24.09,Erick Torres,CHV,Luis Robles,NYRB,Goal,NYRB,CHV,0,0,1,1,0
41734,95.47,Mike Magee,CHI,Zac MacMath,PHI,Saved,CHI,PHI,2,2,0,1,1
41734,30.23,Michel Garbini Pereira,FCD,Tally Hall,HOU,Goal,HOU,FCD,0,0,1,1,0
41734,81.08,Oscar Boniek Garcia,HOU,Chris Seitz,FCD,Saved,HOU,FCD,1,4,0,1,1
41734,47.28,Peguy Luyindula,NYRB,Troy Perkins,MTL,Post,MTL,NYRB,1,2,0,0,0
41734,86.46,Clint Dempsey,SEA,Andrew Weber,POR,Goal,POR,SEA,4,3,1,1,0
41741,41.5,Michel Garbini Pereira,FCD,Stefan Frei,SEA,Goal,FCD,SEA,1,1,1,1,0
41741,4.59,Alvaro Saborio,RSL,Zac MacMath,PHI,Saved,PHI,RSL,0,0,0,1,1
41745,79.5,Sebastien Le Toux,PHI,Luis Robles,NYRB,Goal,NYRB,PHI,2,0,1,1,0
41748,30.37,Lee Nguyen,NE,Sean Johnson,CHI,Goal,CHI,NE,1,0,1,1,0
41748,90.44,Juan Luis Anangono,CHI,Bobby Shuttleworth,NE,Saved,CHI,NE,1,1,0,1,1
41748,4.29,Erick Torres,CHV,Stefan Frei,SEA,Goal,CHV,SEA,0,0,1,1,0
41752,85.07,Bradley Wright-Phillips,NYRB,Tally Hall,HOU,Goal,NYRB,HOU,3,0,1,1,0
41755,38.09,Jairo Arrieta,CLB,Luis Robles,NYRB,Goal,CLB,NYRB,0,0,1,1,0
41755,94.09,Lee Nguyen,NE,Eric Kronberg,SKC,Goal,NE,SKC,1,0,1,1,0
41762,6.4,Erick Torres,CHV,Tally Hall,HOU,Goal,CHV,HOU,0,0,1,1,0
41762,68.04,Giles Barnes,HOU,Trevor Spangenberg,CHV,Goal,CHV,HOU,1,3,1,1,0
41762,61.32,Robbie Keane,LA,Clinton Irwin,COL,Miss,COL,LA,1,0,0,0,0
41762,39.13,Osvaldo Alonso,SEA,Zac MacMath,PHI,Saved,SEA,PHI,0,1,0,1,1
41762,81.46,Lee Nguyen,NE,Julio Cesar,TOR,Goal,TOR,NE,1,1,1,1,0
41762,18.1,Pedro Morales,VAN,Jon Busch,SJ,Goal,VAN,SJ,1,0,1,1,0
41762,44.05,Chris Wondolowski,SJ,David Ousted,VAN,Goal,VAN,SJ,3,0,1,1,0
41763,58.38,Blas Perez,FCD,Luis Robles,NYRB,Saved,FCD,NYRB,0,0,0,1,1
41766,15.22,Michel Garbini Pereira,FCD,Stefan Frei,SEA,Goal,SEA,FCD,0,0,1,1,0
41769,17.15,Dominic Dwyer,SKC,Troy Perkins,MTL,Goal,MTL,SKC,0,0,1,1,0
41769,77.52,Bradley Wright-Phillips,NYRB,Sean Johnson,CHI,Goal,NYRB,CHI,3,5,1,1,0
41770,35.53,Giles Barnes,HOU,Nick Rimando,RSL,Saved,HOU,RSL,1,3,0,1,1
41770,88.47,Javier Morales,RSL,Tally Hall,HOU,Goal,HOU,RSL,2,4,1,1,0
41776,91.04,Sebastien Le Toux,PHI,Brad Knighton,NE,Goal,PHI,NE,2,5,1,1,0
41776,49.48,Federico Higuain,CLB,Donovan Ricketts,POR,Goal,POR,CLB,1,1,1,1,0
41776,50.47,Javier Morales,RSL,Clinton Irwin,COL,Goal,RSL,COL,1,0,1,1,0
41777,6.23,Mike Magee,CHI,Eric Kronberg,SKC,Goal,CHI,SKC,0,0,1,1,0
41777,15,Mike Magee,CHI,Eric Kronberg,SKC,Goal,CHI,SKC,1,0,1,1,0
41782,83.53,Dominic Dwyer,SKC,Joe Bendik,TOR,Goal,SKC,TOR,1,1,1,1,0
41783,4.18,Dillon Powers,COL,Troy Perkins,MTL,Goal,COL,MTL,0,0,1,1,0
41783,35.42,Bradley Wright-Phillips,NYRB,Donovan Ricketts,POR,Goal,NYRB,POR,0,0,1,1,0
41783,81.31,Gonzalo Pineda,SEA,David Ousted,VAN,Goal,VAN,SEA,2,1,1,1,0
41784,87.58,Maurice Edu,PHI,Jaime Penedo,LA,Goal,LA,PHI,4,0,1,1,0
41784,57.27,Khari Stephenson,SJ,Tally Hall,HOU,Goal,SJ,HOU,1,0,1,1,0
41790,27.52,Conor Casey,PHI,Dan Kennedy,CHV,Goal,CHV,PHI,0,0,1,1,0
41790,46.32,Fabian Castillo,FCD,Jon Busch,SJ,Saved,FCD,SJ,1,2,0,1,1
41790,41.29,Gonzalo Pineda,SEA,Jeff Attinella,RSL,Goal,SEA,RSL,0,0,1,1,0
41790,20.21,Jermain Defoe,TOR,Steve Clark,CLB,Goal,TOR,CLB,0,1,1,1,0
41791,67.08,Jeff Larentowicz,CHI,Jaime Penedo,LA,Goal,CHI,LA,0,0,1,1,0
41791,15.26,Pedro Morales,VAN,Donovan Ricketts,POR,Goal,POR,VAN,1,0,1,1,0
41791,25.1,Pedro Morales,VAN,Donovan Ricketts,POR,Goal,POR,VAN,1,1,1,1,0
41794,11.22,Federico Higuain,CLB,Jeff Attinella,RSL,Miss,CLB,RSL,0,0,0,0,0
41796,69.22,Dominic Dwyer,SKC,Tyler Deric,HOU,Goal,HOU,SKC,0,1,1,1,0
41797,37.55,Obafemi Martins,SEA,Sean Johnson,CHI,Goal,CHI,SEA,0,1,1,1,0
41797,95.07,Fabian Espindola,DCU,Steve Clark,CLB,Saved,DCU,CLB,0,0,0,1,1
41797,80.51,Pedro Morales,VAN,Zac MacMath,PHI,Goal,PHI,VAN,3,2,1,1,0
41797,72.39,Will Johnson,POR,Jeff Attinella,RSL,Goal,RSL,POR,1,2,1,1,0
41797,26.34,Jermain Defoe,TOR,Jon Busch,SJ,Goal,TOR,SJ,0,0,1,1,0
41801,49.24,Luis Silva,DCU,Troy Perkins,MTL,Goal,MTL,DCU,2,3,1,1,0
41801,75.48,Patrice Bernier,MTL,Andrew Dykstra,DCU,Post,MTL,DCU,2,4,0,0,0
41801,78.03,Will Johnson,POR,Raul Fernandez,FCD,Goal,POR,FCD,0,2,1,1,0
41818,35.29,Vicente Sanchez,COL,David Ousted,VAN,Goal,COL,VAN,1,0,1,1,0
41824,81.06,Brad Davis,HOU,Luis Robles,NYRB,Goal,HOU,NYRB,1,2,1,1,0
41824,34.13,Javier Morales,RSL,Bobby Shuttleworth,NE,Goal,RSL,NE,0,0,1,1,0
41824,64.51,Joao Plata,RSL,Bobby Shuttleworth,NE,Goal,RSL,NE,1,1,1,1,0
41831,11.14,Eddie Johnson,DCU,Jon Busch,SJ,Goal,SJ,DCU,0,0,1,1,0
41832,97.12,Marcelo Sarvas,LA,Nick Rimando,RSL,Saved,LA,RSL,1,0,0,1,1
41832,85,Chris Tierney,NE,Sean Johnson,CHI,Saved,NE,CHI,0,1,0,1,1
41832,78.22,Dillon Powers,COL,Zac MacMath,PHI,Goal,PHI,COL,3,1,1,1,0
41836,37.17,Lee Nguyen,NE,Jaime Penedo,LA,Goal,LA,NE,2,0,1,1,0
41836,68.1,Sebastien Le Toux,PHI,Luis Robles,NYRB,Goal,PHI,NYRB,2,1,1,1,0
41836,63.09,Jermain Defoe,TOR,David Ousted,VAN,Goal,TOR,VAN,0,1,1,1,0
41839,90.03,Sebastien Le Toux,PHI,Sean Johnson,CHI,Goal,CHI,PHI,1,0,1,1,0
41839,28.03,Michael Bradley,TOR,Tally Hall,HOU,Post,HOU,TOR,2,1,0,0,0
41839,32.55,Bradley Wright-Phillips,NYRB,Jon Busch,SJ,Goal,NYRB,SJ,0,0,1,1,0
41839,72.16,Darren Mattocks,VAN,Nick Rimando,RSL,Goal,RSL,VAN,0,0,1,1,0
41840,24.56,Eddie Johnson,DCU,Dan Kennedy,CHV,Goal,DCU,CHV,0,0,1,1,0
41840,83.14,Erick Torres,CHV,Bill Hamid,DCU,Goal,DCU,CHV,3,0,1,1,0
41847,39.34,Will Johnson,POR,Evan Bush,MTL,Goal,MTL,POR,1,1,1,1,0
41847,38.48,Michel Garbini Pereira,FCD,David Ousted,VAN,Goal,VAN,FCD,1,1,1,1,0
41847,52.12,Pedro Morales,VAN,Raul Fernandez,FCD,Goal,VAN,FCD,1,2,1,1,0
41853,36.33,Mike Magee,CHI,Steve Clark,CLB,Goal,CHI,CLB,0,0,1,1,0
41853,84.32,Robbie Keane,LA,Donovan Ricketts,POR,Goal,LA,POR,2,1,1,1,0
41860,46.4,Federico Higuain,CLB,Joe Bendik,TOR,Goal,CLB,TOR,0,1,1,1,0
41860,10.48,Michel Garbini Pereira,FCD,Clinton Irwin,COL,Goal,FCD,COL,1,0,1,1,0
41860,85.31,Gabriel Torres,COL,Raul Fernandez,FCD,Goal,FCD,COL,3,0,1,1,0
41861,37.22,Mike Magee,CHI,Luis Robles,NYRB,Saved,CHI,NYRB,0,0,0,1,1
41861,25.21,Brad Davis,HOU,Stefan Frei,SEA,Saved,SEA,HOU,0,0,0,1,1
41861,74.39,Gonzalo Pineda,SEA,Tally Hall,HOU,Goal,SEA,HOU,1,0,1,1,0
41861,84.27,Darren Mattocks,VAN,Jon Kempin,SKC,Saved,VAN,SKC,2,0,0,1,1
41867,48.06,Chris Wondolowski,SJ,Raul Fernandez,FCD,Miss,SJ,FCD,0,2,0,0,0
41867,17.1,Dominic Dwyer,SKC,Joe Bendik,TOR,Goal,SKC,TOR,0,0,1,1,0
41867,32.35,Dominic Dwyer,SKC,Joe Bendik,TOR,Goal,SKC,TOR,1,0,1,1,0
41878,74.17,Landon Donovan,LA,Bill Hamid,DCU,Goal,LA,DCU,3,1,1,1,0
41881,35.13,Javier Morales,RSL,Jon Busch,SJ,Goal,SJ,RSL,1,0,1,1,0
41885,59.03,Ryan Finley,CHV,Stefan Frei,SEA,Goal,CHV,SEA,1,4,1,1,0
41887,4.24,Landon Donovan,LA,Clinton Irwin,COL,Goal,LA,COL,0,0,1,1,0
41887,46.48,Landon Donovan,LA,Clinton Irwin,COL,Goal,LA,COL,3,0,1,1,0
41888,10.51,Bradley Wright-Phillips,NYRB,Andy Gruenebaum,SKC,Goal,NYRB,SKC,0,0,1,1,0
41889,45.21,Federico Higuain,CLB,Dan Kennedy,CHV,Post,CLB,CHV,0,0,0,0,0
41892,38.35,Pedro Morales,VAN,Jon Busch,SJ,Goal,VAN,SJ,0,0,1,1,0
41895,56.36,Jeff Larentowicz,CHI,Joe Bendik,TOR,Saved,CHI,TOR,1,0,0,1,1
41895,47.55,Dillon Powers,COL,Donovan Ricketts,POR,Goal,COL,POR,0,1,1,1,0
41895,36.1,Peguy Luyindula,NYRB,Zac MacMath,PHI,Goal,PHI,NYRB,0,0,1,1,0
41895,92,Sebastien Le Toux,PHI,Luis Robles,NYRB,Goal,PHI,NYRB,1,2,1,1,0
41896,36.44,Robbie Keane,LA,Jon Busch,SJ,Post,SJ,LA,0,1,0,0,0
41902,31.06,Jeff Larentowicz,CHI,Bill Hamid,DCU,Goal,CHI,DCU,1,0,1,1,0
41902,38.25,Luis Silva,DCU,Sean Johnson,CHI,Goal,CHI,DCU,2,0,1,1,0
41902,84.24,Federico Higuain,CLB,Bobby Shuttleworth,NE,Saved,CLB,NE,1,0,0,1,1
41902,53.4,Bradley Wright-Phillips,NYRB,Stefan Frei,SEA,Goal,NYRB,SEA,1,0,1,1,0
41909,57.04,Federico Higuain,CLB,Evan Bush,MTL,Goal,CLB,MTL,1,0,1,1,0
41909,90.36,Marco Di Vaio,MTL,Steve Clark,CLB,Saved,CLB,MTL,2,0,0,1,1
41909,47.33,Pedro Morales,VAN,Jeff Attinella,RSL,Saved,VAN,RSL,0,0,0,1,1
41909,61.08,Pedro Morales,VAN,Jeff Attinella,RSL,Goal,VAN,RSL,0,1,1,1,0
41917,63.05,Erick Torres,CHV,Nick Rimando,RSL,Saved,CHV,RSL,1,0,0,1,1
41917,10.13,Clint Dempsey,SEA,Clinton Irwin,COL,Goal,COL,SEA,0,0,1,1,0
41920,50.01,Diego Valeri,POR,Jon Busch,SJ,Goal,POR,SJ,1,0,1,1,0
41920,57.49,Jermain Defoe,TOR,Tyler Deric,HOU,Saved,TOR,HOU,0,1,0,1,1
41922,12.16,Dominic Dwyer,SKC,Sean Johnson,CHI,Miss,SKC,CHI,0,0,0,0,0
41924,82.09,Giles Barnes,HOU,Bill Hamid,DCU,Goal,HOU,DCU,0,2,1,1,0
41930,55.42,Blas Perez,FCD,Clinton Irwin,COL,Goal,COL,FCD,0,0,1,1,0
41930,53.28,Dominic Dwyer,SKC,Zac MacMath,PHI,Goal,PHI,SKC,1,0,1,1,0
41934,35.39,Alvaro Saborio,RSL,Dan Kennedy,CHV,Goal,RSL,CHV,0,0,1,1,0
41936,65.11,Jeff Larentowicz,CHI,Tyler Deric,HOU,Goal,CHI,HOU,0,1,1,1,0
